Text,Sentiment,Score
tsla tesla inc  stock price quote and news  cnbc,Neutral,-0.9999773502349854
tesla inc tsla stock price news quote  history  yahoo finance,Neutral,-0.9999737739562988
tesla stock jumps trump might not collect autonomous driving ,Negative,-0.986089825630188
tesla inc tsla stock price  news  google finance,Neutral,-0.9999784231185913
tesla inc stock quote us nasdaq  tsla  marketwatch,Neutral,-0.9992589354515076
tesla stock hits record boosted by  pop since trump victory,Positive,-0.9999988079071045
watch these tesla stock price levels after first record high in ,Neutral,-0.6419744491577148
tesla stock price live today  the economic times,Neutral,-0.9998354911804199
what matters most to teslas stock is growth of units says   youtube,Neutral,-0.9484089612960815
dude left his tesla in a garage for a month ,Neutral,-0.9985230565071106
standard tesla driver worship a turd and become a turd  ,Neutral,-0.998896598815918
tesla has highest rate of deadly accidents among car brands study finds ,Positive,-0.9999991655349731
former tesla owners of reddit what went wrong with your tesla ,Neutral,-0.8311963677406311
tesla robovan  ,Neutral,-0.9931516647338867
tesla roadmap released what are you most excited for ,Positive,-0.8954417705535889
tesla ceo elon musk loses bid to get  billion pay package reinstated ,Negative,-0.9999922513961792
tesla shares drop  in premarket after cybercab robotaxi reveal fails to impress ,Negative,-0.9999983310699463
the optimus robots at teslas cybercab event were humans in disguise ,Negative,-0.9997935891151428
tesla says the cybertruck will hold  of its value after driven for  years ,Neutral,-0.9901920557022095
seen on a tesla ,Neutral,-0.999698281288147
tesla cybertruck owners shocked that tires are barely lasting  miles ,Negative,-0.9999982118606567
trump transition wants to scrap crash reporting requirement opposed by tesla ,Neutral,-0.9981021285057068
teslas value drops bn after investors fail to hail selfdriving cybercab ,Negative,-0.9893168807029724
where tesla started vs where they are today ,Neutral,-0.999948263168335
teslas are involved in more fatal accidents than any other brand study finds ,Negative,-0.9861385226249695
bmw overtakes tesla bmw has taken the lead in the european battery electric vehicle market for the first time overtaking us automaker tesla  ,Positive,-0.9952804446220398
elon musk donald trump event on x crashes site tesla ceo blames cyberattack ,Negative,-0.99428790807724
this is the last known photo of nicola tesla on th january  tesla died alone in the new yorker hotel by the end of his life he was penniless and had become a vegetarian ,Neutral,-0.9946020841598511
tesla ceo elon musk loses bid to get  billion pay package reinstated ,Negative,-0.9999922513961792
tesla recalls every cybertruck again ,Neutral,-0.9977066516876221
tesla has refused my request to sell my recently purchased cybertruck  ,Negative,-0.7183409333229065
conspiracy theory tesla sends requests for tow trucks after crashes to prevent media attention ,Neutral,-0.9996525049209595
tesla cybertruck immediately dies in alberta winter ,Neutral,-0.9991796612739563
nearly unusable calif police majorly push back on tesla cop cars ,Negative,-0.9261347651481628
elon musk accused of massive insider trading at tesla ,Negative,-0.9794715642929077
